step,w0,w1,w2,w3,w4,w5,w6
288,0.19579911,0.13411728,0.1565913,0.29481027,0.14859234,0.07008972,0.0
289,0.31281734,0.16327189,0.06129057,0.33173558,0.06886046,0.06202418,0.0
290,0.21878244,0.07322875,0.1116422,0.22704916,0.2589509,0.11034659,0.0
291,0.15263046,0.1009625,0.24115153,0.13246533,0.25699413,0.11579608,0.0
292,0.189802,0.23243953,0.13934286,0.21089064,0.1486309,0.07889408,0.0
293,0.16491817,0.12289786,0.07945916,0.3578626,0.1305945,0.14426768,0.0
294,0.33543015,0.07392614,0.06434887,0.10894871,0.33173665,0.08560953,0.0
295,0.12981294,0.07365254,0.18601036,0.2471448,0.11024297,0.25313643,0.0
296,0.1502091,0.07249302,0.20348428,0.18377629,0.26610777,0.12392948,0.0
297,0.15431775,0.0973726,0.30526766,0.2045477,0.10445214,0.13404216,0.0
298,0.10236005,0.13228145,0.3375288,0.18561831,0.1789065,0.06330486,0.0
299,0.252192,0.11305566,0.27361116,0.09234253,0.11372984,0.15506883,0.0
300,0.07232112,0.0888119,0.32398856,0.25007,0.11100334,0.15380506,0.0
301,0.1893024,0.10856017,0.22040346,0.25024077,0.06742682,0.16406633,0.0
302,0.12419456,0.1291532,0.0696955,0.08946008,0.48902765,0.09846901,0.0
303,0.05430835,0.24623565,0.23781048,0.1034689,0.06220565,0.29597095,0.0
304,0.08216418,0.2064958,0.269556,0.05851444,0.21580303,0.16746652,0.0
305,0.21837768,0.10174576,0.21634558,0.07175245,0.3046578,0.08712076,0.0
306,0.18753755,0.11312202,0.15759267,0.14687586,0.14458893,0.2502829,0.0
307,0.1670587,0.24157687,0.12395751,0.21140726,0.07429933,0.18170023,0.0
308,0.13502564,0.24276951,0.07625323,0.05993934,0.15486732,0.33114493,0.0
309,0.14018068,0.08547705,0.14191781,0.21276392,0.25172922,0.16793133,0.0
310,0.13995211,0.06940452,0.12296029,0.08634017,0.36474115,0.21660177,0.0
311,0.2035323,0.13992478,0.16673306,0.19817661,0.16751233,0.12412091,0.0
312,0.08462996,0.08880489,0.19612059,0.32816452,0.12049992,0.18178006,0.0
313,0.261271,0.10352771,0.2339686,0.05533836,0.1709724,0.17492191,0.0
314,0.08637504,0.11227468,0.4372088,0.09653912,0.09826753,0.1693348,0.0
315,0.15827629,0.13250628,0.23082152,0.10395315,0.14921755,0.2252252,0.0
316,0.16434252,0.3235464,0.2175769,0.08386193,0.15458512,0.05608712,0.0
317,0.07843276,0.09736757,0.3572218,0.07736949,0.16771008,0.22189821,0.0
318,0.19961977,0.15223733,0.18842733,0.26196525,0.05101376,0.14673652,0.0
319,0.11146268,0.05575272,0.20011742,0.25333157,0.20769864,0.1716369,0.0
320,0.19900449,0.17935084,0.18797217,0.0907912,0.12703778,0.2158435,0.0
321,0.25462732,0.2633921,0.23613033,0.10625997,0.07061777,0.06897256,0.0
322,0.0908038,0.14455506,0.15012042,0.1185021,0.18918034,0.30683827,0.0
323,0.1867424,0.19845591,0.24815717,0.10423364,0.12015624,0.14225467,0.0
324,0.06288361,0.2723233,0.12550028,0.15262571,0.1584375,0.22822964,0.0
325,0.1119637,0.23823169,0.05398235,0.2726251,0.13282846,0.19036868,0.0
326,0.10086311,0.12898634,0.32594466,0.13998382,0.16273108,0.14149092,0.0
327,0.04794533,0.25463295,0.07083133,0.18367071,0.2822235,0.16069618,0.0
328,0.2543738,0.20240876,0.05233707,0.06185829,0.2908015,0.13822064,0.0
329,0.17814155,0.0534188,0.1895046,0.05061888,0.26079458,0.26752162,0.0
330,0.14374556,0.34333804,0.08639432,0.05550691,0.05795063,0.31306455,0.0
331,0.2946007,0.25892624,0.13361935,0.10516255,0.10591664,0.10177448,0.0
