trace,mode,include_hit_miss,include_cache,include_candidate,include_topk,include_avgtopk,include_request,rl_state_use_missratio,miss_ratio,byte_miss_ratio,throughput_mqps,exit_code,run_timestamp,base_config
1063,"compound=0,irt=0",0,0,1,0,1,0,1,0.369316,0.352289,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c009_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,0,1,0,1,0.369425,0.3529,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c015_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,0,1,0,1,0.369503,0.352132,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c003_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,0,1,0,0,0.369758,0.354294,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c027_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,1,1,0,0,0,0.370094,0.353725,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c032_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,1,0,0,0,0.370671,0.354117,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c026_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,1,1,1,0,0,1,0.371041,0.356252,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c044_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,1,0,0,0,0.371053,0.356323,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c014_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,1,0,0,1,0.372486,0.357297,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c002_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,0,0,1,0,1,0,0.36812,0.225812,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c005_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
