step,w0,w1,w2,w3,w4,w5,w6
189,0.14127599,0.38727763,0.08217959,0.10980564,0.07396469,0.20549646,0.0
190,0.14132947,0.21578892,0.20172702,0.27138367,0.09200341,0.07776761,0.0
191,0.26360017,0.20752266,0.12495183,0.10288469,0.11428027,0.18676047,0.0
192,0.05437314,0.3049315,0.10922743,0.20864022,0.11327404,0.2095537,0.0
193,0.08396284,0.25532898,0.06024648,0.09408461,0.11245571,0.39392138,0.0
194,0.21901661,0.08399929,0.25417334,0.22879517,0.15735012,0.0566654,0.0
195,0.1125285,0.23787034,0.2011095,0.25848907,0.06452604,0.12547658,0.0
196,0.11500684,0.16514194,0.09145618,0.0809356,0.34045136,0.20700808,0.0
197,0.36457843,0.0839234,0.09204704,0.21736042,0.17848995,0.06360082,0.0
198,0.17842242,0.23026666,0.12345924,0.13534969,0.23532347,0.09717853,0.0
199,0.06084375,0.23593631,0.06932046,0.2644789,0.11194675,0.25747386,0.0
200,0.09514576,0.34966335,0.20333534,0.10524491,0.0877273,0.15888338,0.0
201,0.26400107,0.14432682,0.11697568,0.2368683,0.14188209,0.09594596,0.0
202,0.19837612,0.25549582,0.13821766,0.10028066,0.19249439,0.11513531,0.0
203,0.2939104,0.26154926,0.10580587,0.10523891,0.18344739,0.0500481,0.0
204,0.23277833,0.1026067,0.11677659,0.31223282,0.15319818,0.08240732,0.0
205,0.23945685,0.22453943,0.18731491,0.05050541,0.19149347,0.10668994,0.0
206,0.08687302,0.06041271,0.21902177,0.06511687,0.14088799,0.4276876,0.0
207,0.05886126,0.25627506,0.12177241,0.0588646,0.09218299,0.4120437,0.0
208,0.30775163,0.09023575,0.0809701,0.10415065,0.3436709,0.07322098,0.0
209,0.2067245,0.2514249,0.06392375,0.27809575,0.05412172,0.14570944,0.0
210,0.18011914,0.10167183,0.08234025,0.2964871,0.12956229,0.20981933,0.0
211,0.28543288,0.20902668,0.08660779,0.0785881,0.14258929,0.19775528,0.0
212,0.10424747,0.25179756,0.18767242,0.05480136,0.27674937,0.12473188,0.0
213,0.06840834,0.07631484,0.28073463,0.17893705,0.20324713,0.19235799,0.0
214,0.17059271,0.21041626,0.12885395,0.321056,0.09717555,0.07190552,0.0
215,0.04922201,0.32971793,0.20572606,0.17582761,0.12012132,0.11938503,0.0
216,0.08794899,0.17431197,0.28224137,0.22494118,0.08931173,0.14124474,0.0
217,0.09575859,0.25627682,0.11233061,0.12063255,0.28779137,0.12721004,0.0
218,0.14376882,0.05550113,0.24948195,0.25814176,0.0626792,0.23042715,0.0
219,0.06559359,0.26710466,0.30095404,0.1633476,0.1196679,0.08333217,0.0
220,0.0842235,0.28177723,0.05619011,0.10849947,0.12313168,0.34617805,0.0
221,0.1329583,0.30563408,0.21724446,0.05005794,0.19215415,0.1019511,0.0
222,0.28823605,0.10104772,0.15427692,0.2939395,0.07500162,0.08749817,0.0
223,0.2261024,0.13376977,0.15776125,0.12360273,0.14348419,0.21527965,0.0
224,0.14924091,0.22136423,0.12392703,0.2649484,0.17858447,0.06193502,0.0
225,0.11650224,0.12035745,0.42114416,0.10764921,0.11101635,0.12333053,0.0
226,0.1162242,0.08771305,0.3267183,0.2798619,0.10302737,0.08645522,0.0
227,0.14224963,0.30925295,0.11638738,0.22624342,0.13238339,0.07348321,0.0
228,0.1041159,0.21398361,0.2781506,0.23692735,0.11058435,0.05623819,0.0
229,0.07251534,0.19076821,0.07672548,0.08700176,0.4677092,0.10528,0.0
230,0.3365941,0.12630627,0.18892637,0.19162922,0.09746943,0.05907464,0.0
231,0.16371238,0.18436399,0.16191411,0.15263762,0.22248353,0.11488842,0.0
232,0.18453774,0.23265824,0.21703771,0.22805814,0.09515243,0.04255575,0.0
233,0.34941155,0.18873464,0.07458615,0.12448667,0.16137318,0.10140785,0.0
234,0.13640718,0.05393323,0.35729527,0.20942728,0.16560873,0.07732818,0.0
235,0.21142413,0.2157569,0.11157552,0.17374237,0.13689804,0.15060306,0.0
236,0.21681197,0.14960185,0.15064856,0.11282024,0.2064325,0.16368489,0.0
237,0.1965349,0.19367684,0.10688219,0.1145163,0.12852302,0.2598667,0.0
238,0.27248052,0.14800031,0.2347081,0.20049451,0.1066291,0.03768747,0.0
239,0.12062643,0.06293882,0.254575,0.13935955,0.27807593,0.14442416,0.0
240,0.28010014,0.17425767,0.16349456,0.14430806,0.07217713,0.16566248,0.0
241,0.14061695,0.36492276,0.05710975,0.14561006,0.19607821,0.09566214,0.0
242,0.24530418,0.14841591,0.1515313,0.1587447,0.06657908,0.2294249,0.0
243,0.14574568,0.0713498,0.4004104,0.07563291,0.17129704,0.13556415,0.0
244,0.09563091,0.07955798,0.18243916,0.40847662,0.09522456,0.13867082,0.0
245,0.22507499,0.12940137,0.23996867,0.2136592,0.1029139,0.08898193,0.0
246,0.1273472,0.18973649,0.07972634,0.07252212,0.22746862,0.30319923,0.0
247,0.14417864,0.22847632,0.09886951,0.17034669,0.10426307,0.25386572,0.0
248,0.33415195,0.05518556,0.24333891,0.08046132,0.12273195,0.16413032,0.0
249,0.16041937,0.08505387,0.22949256,0.12401803,0.31974813,0.08126808,0.0
