file,trace,dataset,cache_size_mib,loh_mr,loh_bmr,loh_mr_runtime,loh_bmr_runtime,baseline_best_mr,baseline_best_mr_algo,baseline_best_bmr,baseline_best_bmr_algo,mr_gain_vs_best,bmr_gain_vs_best,matched_algo_count
ab_alibabaBlock_993.cachesim,alibabaBlock_993,alibabaBlock,2.0,0.797939,0.976706,0.3,0.9,0.7922,GDSF,0.9765,ARC,-0.007244382731633348,-0.00021095750128000867,12
ab_alibabaBlock_994.cachesim,alibabaBlock_994,alibabaBlock,2.0,0.831315,0.965747,1.3,2.1,0.8325,LHD,0.9615,LHD,0.0014234234234234134,-0.004417056682267291,12
ab_alibabaBlock_995.cachesim,alibabaBlock_995,alibabaBlock,2.0,0.831183,0.962586,1.2,2.0,0.8337,LHD,0.9613,LHD,0.003019071608492253,-0.0013377717673983245,12
ab_alibabaBlock_996.cachesim,alibabaBlock_996,alibabaBlock,2.0,0.834847,0.9645,1.4,2.1,0.8376,LHD,0.9633,GDSF,0.0032867717287488126,-0.0012457178449081063,12
ab_alibabaBlock_997.cachesim,alibabaBlock_997,alibabaBlock,2.0,0.83781,0.965187,1.0,2.7,0.8365,LHD,0.9621,S3FIFO-0.1000-2,-0.0015660490137477984,-0.003208606173994452,12
ab_alibabaBlock_998.cachesim,alibabaBlock_998,alibabaBlock,2.0,0.837287,0.966416,1.3,2.1,0.8395,LHD,0.9634,LHD,0.00263609291244791,-0.0031305791986713915,12
ab_alibabaBlock_999.cachesim,alibabaBlock_999,alibabaBlock,2.0,0.774676,0.974099,0.4,0.6,0.776,GDSF,0.9743,ARC,0.0017061855670102988,0.00020630196038181947,12
cp_w01.cachesim,w01.oracleGeneral.bin,other,654.0,0.912702,0.87588,9763.5,9018.6,0.8413,LHD,0.7811,ThreeLCache-BMR,-0.08487103292523471,-0.12134169760594031,12
cp_w02.cachesim,w02.oracleGeneral.bin,other,20.0,0.976345,0.996377,3291.2,1992.2,0.9353,LHD,0.9932,WTinyLFU-w0.01-SLRU,-0.043884315192986204,-0.0031987515102698204,12
cp_w03.cachesim,w03.oracleGeneral.bin,other,2048.0,0.858381,0.940381,4900.9,3044.3,0.6545,ThreeLCache-BMR,0.8637,ThreeLCache-BMR,-0.3115064935064935,-0.08878198448535371,12
cp_w04.cachesim,w04.oracleGeneral.bin,other,2048.0,0.806938,0.765041,4109.6,1329.3,0.502,GDSF,0.7307,ThreeLCache-BMR,-0.6074462151394423,-0.04699739975366081,12
cp_w05.cachesim,w05.oracleGeneral.bin,other,1024.0,0.998403,0.981535,4982.7,2474.0,0.8455,GDSF,0.9642,Cacheus,-0.18084328799526908,-0.017978635137938292,12
cp_w06.cachesim,w06.oracleGeneral.bin,other,22.0,0.804522,0.55654,3415.4,449.7,0.4765,LHD,0.5174,ThreeLCache-BMR,-0.688398740818468,-0.07564746810977979,12
cp_w07.cachesim,w07.oracleGeneral.bin,other,140.0,0.853448,0.899575,4139.4,2348.1,0.7915,ThreeLCache-BMR,0.8835,ThreeLCache-BMR,-0.07826658243840809,-0.018194680249009693,12
cp_w08.cachesim,w08.oracleGeneral.bin,other,1024.0,0.924718,0.9879,2068.2,1487.2,0.941,GDSF,0.9851,WTinyLFU-w0.01-SLRU,0.0173028692879914,-0.0028423510303522736,12
cp_w09.cachesim,w09.oracleGeneral.bin,other,1024.0,0.785297,0.799237,2473.6,795.1,0.5611,GDSF,0.7777,ThreeLCache-BMR,-0.3995669221172696,-0.02769319789121773,12
cp_w10.cachesim,w10.oracleGeneral.bin,other,1024.0,0.716121,0.933982,1712.7,1213.9,0.6985,GDSF,0.9132,S3FIFO-0.1000-2,-0.025226914817465994,-0.02275733683749449,12
cp_w100.cachesim,w100.oracleGeneral.bin,other,51.0,0.823248,0.966379,127.1,126.1,0.7248,GDSF,0.9332,ThreeLCache-BMR,-0.1358278145695364,-0.035554007715387866,12
cp_w101.cachesim,w101.oracleGeneral.bin,other,51.0,0.821721,0.966045,122.5,122.6,0.7215,GDSF,0.934,GDSF,-0.1389064449064449,-0.034309421841541746,12
cp_w102.cachesim,w102.oracleGeneral.bin,other,8.0,0.727685,0.912008,119.3,98.8,0.2842,GDSF,0.6497,ThreeLCache-BMR,-1.5604679802955665,-0.40373710943512386,12
cp_w103.cachesim,w103.oracleGeneral.bin,other,8.0,0.380205,0.49135,18.2,16.2,0.3793,GDSF,0.4876,ThreeLCache-BMR,-0.0023859741629316876,-0.007690730106644855,12
cp_w104.cachesim,w104.oracleGeneral.bin,other,47.0,0.985783,0.988906,171.5,182.9,0.95,ThreeLCache-BMR,0.9827,LRB-BMR,-0.037666315789473694,-0.0063152538923373705,12
cp_w105.cachesim,w105.oracleGeneral.bin,other,18.0,0.851837,0.972219,63.5,57.2,0.86,WTinyLFU-w0.01-SLRU,0.9702,WTinyLFU-w0.01-SLRU,0.009491860465116317,-0.0020810142238714743,12
cp_w106.cachesim,w106.oracleGeneral.bin,other,5.0,0.892877,0.612889,97.3,17.5,0.3587,GDSF,0.6136,ThreeLCache-BMR,-1.4892026763311959,0.001158735332464174,12
